gpu,solver_key,solver,divergence,dim,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel,julia rodas5 kernel,0.5,3,30000,163.371081,118.0332,8.102856675449514,0.06864896211785765,1.384111258527262,65.65628630287677,103,136,3.0448
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel,julia rodas5 kernel,0.6,3,30000,159.707654,115.51016666666666,9.367640492416898,0.0810979739943546,1.3826285478478806,87.75268839516872,98,138,3.0454333333333334
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel,julia rodas5 kernel,0.7,3,30000,153.953807,113.0539,10.642545289967448,0.09413691425034826,1.3617735168800016,113.2637702490083,94,137,3.0456333333333334
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel,julia rodas5 kernel,0.8,3,30000,152.05852000000002,110.64373333333333,11.924295102409417,0.10777198801205867,1.3743075673513068,142.1888136893452,88,139,3.048766666666667
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel,julia rodas5 kernel,0.9,3,30000,147.607241,108.1232,13.457292634509923,0.12446258189278456,1.3651764006244727,181.09872505083501,80,140,3.0513
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel,julia rodas5 kernel,1.0,3,30000,149.128278,105.04923333333333,15.847994027932343,0.15086253868835797,1.4196036778945238,251.15891470937922,68,137,3.048566666666667
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel (sorted),julia rodas5 kernel (sorted),0.0,3,30000,103.75426,134.0,0.0,0.0,0.7742855223880597,0.0,134,134,3.0
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel (sorted),julia rodas5 kernel (sorted),0.1,3,30000,162.664665,129.87223333333333,3.0670435119322472,0.023615852543786602,1.252497634213318,9.406755904085692,125,138,3.003833333333333
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel (sorted),julia rodas5 kernel (sorted),0.2,3,30000,160.989246,126.2733,4.451906081548137,0.03525611575485979,1.2749270510868094,19.819467758925292,119,139,3.026466666666667
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel (sorted),julia rodas5 kernel (sorted),0.3,3,30000,158.074106,123.31293333333333,5.622335791366484,0.04559404791846503,1.2818939727327872,31.61065975088059,112,138,3.037533333333333
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel (sorted),julia rodas5 kernel (sorted),0.4,3,30000,154.423815,120.63916666666667,6.84011638877312,0.05669896914716575,1.2800470963686474,46.78719221196262,108,137,3.033166666666667
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel (sorted),julia rodas5 kernel (sorted),0.5,3,30000,146.728982,118.0332,8.102856675449514,0.06864896211785765,1.243116191037776,65.65628630287677,103,136,3.0448
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel (sorted),julia rodas5 kernel (sorted),0.6,3,30000,140.672949,115.51016666666666,9.367640492416898,0.0810979739943546,1.2178404123157989,87.75268839516872,98,138,3.0454333333333334
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel (sorted),julia rodas5 kernel (sorted),0.7,3,30000,138.88967399999999,113.0539,10.642545289967448,0.09413691425034826,1.2285261631841093,113.2637702490083,94,137,3.0456333333333334
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel (sorted),julia rodas5 kernel (sorted),0.8,3,30000,136.40449900000002,110.64373333333333,11.924295102409417,0.10777198801205867,1.232826251343652,142.1888136893452,88,139,3.048766666666667
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel (sorted),julia rodas5 kernel (sorted),0.9,3,30000,132.956183,108.1232,13.457292634509923,0.12446258189278456,1.229673030394957,181.09872505083501,80,140,3.0513
NVIDIA GeForce RTX 4070 SUPER,julia rodas5 kernel (sorted),julia rodas5 kernel (sorted),1.0,3,30000,128.977888,105.04923333333333,15.847994027932343,0.15086253868835797,1.2277851432836095,251.15891470937922,68,137,3.048566666666667
