gpu,solver_key,solver,divergence,dim,n_osc,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn,numba-cuda Tsit5,0.25,64,32,1000,9.95999239385128,31.548,1.855569761323766,0.058817350111695386,0.31570915410965134,3.4431391391391384,27,40,1.151
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn,numba-cuda Tsit5,0.5,64,32,1000,10.635099513456225,33.671,2.055476583175781,0.061045902502918865,0.3158533905573409,4.224983983983984,29,42,0.808
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn,numba-cuda Tsit5,0.75,64,32,1000,11.187777109444141,34.683,1.8963404512658342,0.05467636742109489,0.3225723584881395,3.5961071071071076,30,44,0.68
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn,numba-cuda Tsit5,1.0,64,32,1000,11.538375029340386,36.168,2.442076931576837,0.06752037523713883,0.3190216497826915,5.963739739739739,31,45,1.019
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn,numba-cuda Tsit5,1.25,64,32,1000,12.653022492304444,38.639,2.978514822952968,0.0770857119219692,0.32746764906711984,8.87155055055055,32,51,1.659
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn,numba-cuda Tsit5,1.5,64,32,1000,13.798301806673408,41.836,3.7721788575481585,0.09016585853208142,0.32981885951509243,14.22933333333333,33,56,2.663
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn,numba-cuda Tsit5,2.0,64,32,1000,16.222942527383566,49.851,4.884737419724796,0.0979867489062365,0.3254286278586902,23.860659659659657,36,65,4.887
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn,numba-cuda Tsit5,2.5,64,32,1000,18.66645412519574,58.084,5.45093172371996,0.09384566702912954,0.32136998356166485,29.71265665665665,43,74,6.85
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn,numba-cuda Tsit5,3.0,64,32,1000,21.11553568392992,65.741,5.8561261268190945,0.08907875035090879,0.32119279724874766,34.29421321321321,51,83,8.142
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn,numba-cuda Tsit5,4.0,64,32,1000,25.035397615283728,79.159,6.298840718290502,0.07957200973092765,0.31626722944054025,39.6753943943944,60,97,9.391
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn_sorted,numba-cuda Tsit5 sorted,0.0,64,32,1000,4.945741919800639,17.0,0.0,0.0,0.29092599528239055,0.0,17,17,0.0
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn_sorted,numba-cuda Tsit5 sorted,0.25,64,32,1000,10.653089312836528,31.548,1.8555697613237663,0.05881735011169539,0.3376787534181732,3.4431391391391393,27,40,1.151
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn_sorted,numba-cuda Tsit5 sorted,0.5,64,32,1000,11.301563493907452,33.671,2.055476583175781,0.061045902502918865,0.33564680270581365,4.224983983983983,29,42,0.808
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn_sorted,numba-cuda Tsit5 sorted,0.75,64,32,1000,11.703090090304613,34.683,1.8963404512658344,0.0546763674210949,0.33743015570465684,3.596107107107108,30,44,0.68
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn_sorted,numba-cuda Tsit5 sorted,1.0,64,32,1000,12.167524406686425,36.168,2.442076931576837,0.06752037523713883,0.33641684380353976,5.963739739739741,31,45,1.019
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn_sorted,numba-cuda Tsit5 sorted,1.25,64,32,1000,13.465686794370413,38.639,2.978514822952968,0.0770857119219692,0.3484998782155442,8.87155055055055,32,51,1.659
NVIDIA GeForce RTX 4070 SUPER,tsit5ckn_sorted,numba-cuda Tsit5 sorted,1.5,64,32,1000,14.8091287817806,41.836,3.772178857548159,0.09016585853208144,0.35398051395402524,14.229333333333333,33,56,2.663
